Quarter,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon,Northwest Territories,Nunavut
Q3 1991,"28,037,420","579,644","130,369","914,969","745,567","7,067,396","10,431,316","1,109,604","1,002,713","2,592,306","3,373,787","28,871","38,724","22,154"
Q4 1991,"28,127,327","579,549","130,360","916,896","745,886","7,080,336","10,465,562","1,109,400","1,000,942","2,604,031","3,404,049","29,142","38,854","22,320"
Q1 1992,"28,181,477","579,425","130,604","917,302","746,571","7,082,645","10,488,022","1,109,978","1,001,136","2,611,786","3,423,217","29,239","39,055","22,497"
Q2 1992,"28,269,699","579,761","130,812","917,555","747,232","7,096,705","10,528,346","1,111,050","1,002,831","2,620,771","3,443,237","29,510","39,230","22,659"
Q3 1992,"28,371,264","580,109","130,827","919,451","748,121","7,110,010","10,572,205","1,112,689","1,003,995","2,632,672","3,468,802","30,084","39,416","22,883"
Q4 1992,"28,474,177","579,624","131,201","921,619","747,746","7,129,062","10,610,665","1,113,209","1,002,960","2,643,421","3,502,209","30,034","39,422","23,005"
Q1 1993,"28,533,602","580,819","131,564","922,128","747,892","7,137,514","10,629,994","1,114,180","1,003,443","2,650,886","3,522,509","29,964","39,538","23,171"
Q2 1993,"28,600,864","580,369","131,833","922,469","748,320","7,147,047","10,656,924","1,115,554","1,005,037","2,658,293","3,541,936","30,112","39,649","23,321"
Q3 1993,"28,684,764","579,977","132,177","923,925","748,812","7,156,537","10,690,038","1,117,618","1,006,900","2,667,292","3,567,772","30,337","39,820","23,559"
Q4 1993,"28,786,619","578,194","132,467","925,851","749,454","7,172,016","10,728,737","1,118,603","1,007,016","2,678,623","3,601,746","30,016","40,095","23,801"
Q1 1994,"28,835,772","577,128","132,752","925,852","749,531","7,177,923","10,744,762","1,119,284","1,007,554","2,683,346","3,623,717","29,670","40,273","23,980"
Q2 1994,"28,907,448","575,670","133,030","926,109","749,473","7,184,599","10,776,819","1,120,863","1,008,540","2,691,443","3,646,632","29,682","40,383","24,205"
Q3 1994,"29,000,663","574,466","133,437","926,871","750,185","7,192,403","10,819,146","1,123,230","1,009,575","2,700,606","3,676,075","29,684","40,578","24,407"
Q4 1994,"29,096,372","572,068","133,800","927,778","750,670","7,201,106","10,860,406","1,124,263","1,010,784","2,709,011","3,711,468","29,606","40,875","24,537"
Q1 1995,"29,141,902","570,563","134,060","927,395","750,819","7,205,074","10,875,308","1,124,947","1,011,784","2,715,701","3,730,564","29,882","41,114","24,691"
Q2 1995,"29,211,541","569,068","134,175","927,641","750,692","7,210,305","10,906,895","1,127,234","1,012,795","2,724,946","3,751,377","30,143","41,407","24,863"
Q3 1995,"29,302,311","567,397","134,415","928,120","750,943","7,219,219","10,950,119","1,129,150","1,014,187","2,734,519","3,777,390","30,442","41,432","24,978"
Q4 1995,"29,396,274","565,008","134,971","930,028","751,174","7,228,600","10,993,416","1,129,547","1,015,349","2,745,255","3,805,461","30,875","41,470","25,120"
Q1 1996,"29,446,857","563,679","135,119","929,782","751,581","7,232,952","11,009,307","1,130,288","1,016,198","2,753,463","3,826,739","30,963","41,495","25,291"
Q2 1996,"29,514,217","561,646","135,311","929,921","751,872","7,237,307","11,037,392","1,132,025","1,017,872","2,762,903","3,849,847","31,142","41,516","25,463"
Q3 1996,"29,610,218","559,698","135,737","931,327","752,268","7,246,897","11,082,903","1,134,196","1,018,945","2,775,133","3,874,317","31,387","41,741","25,669"
Q4 1996,"29,708,206","557,281","136,004","932,276","752,526","7,257,616","11,130,574","1,134,619","1,019,408","2,789,691","3,899,256","31,596","41,611","25,748"
Q1 1997,"29,751,536","555,432","135,935","932,349","752,334","7,262,945","11,146,270","1,134,997","1,018,326","2,799,561","3,914,490","31,633","41,528","25,736"
Q2 1997,"29,818,012","553,115","135,931","931,832","752,447","7,267,820","11,179,959","1,135,846","1,017,683","2,813,157","3,931,056","31,659","41,668","25,839"
Q3 1997,"29,905,948","550,911","136,095","932,402","752,511","7,274,611","11,227,651","1,136,128","1,017,902","2,829,848","3,948,583","31,797","41,625","25,884"
Q4 1997,"29,994,790","547,639","136,165","932,735","752,248","7,282,871","11,278,893","1,135,649","1,017,426","2,847,526","3,964,677","31,556","41,411","25,994"
Q1 1998,"30,028,506","545,769","135,938","932,549","751,969","7,286,008","11,292,059","1,135,770","1,017,504","2,859,305","3,972,821","31,510","41,222","26,082"
Q2 1998,"30,080,180","542,479","135,635","932,033","751,080","7,290,497","11,322,038","1,136,177","1,017,105","2,876,753","3,977,912","31,320","40,968","26,183"
Q3 1998,"30,155,173","539,843","135,804","931,836","750,530","7,295,935","11,365,901","1,137,489","1,017,332","2,899,066","3,983,113","31,149","40,802","26,373"
Q4 1998,"30,231,639","537,908","135,908","932,740","750,708","7,305,302","11,408,804","1,138,328","1,017,748","2,915,781","3,990,451","30,877","40,635","26,449"
Q1 1999,"30,260,117","536,515","135,994","932,145","750,127","7,310,238","11,419,589","1,138,946","1,016,883","2,926,079","3,995,643","30,748","40,635","26,575"
Q2 1999,"30,314,696","534,498","136,025","932,116","750,075","7,315,053","11,452,857","1,140,502","1,015,716","2,937,393","4,002,433","30,602","40,705","26,721"
Q3 1999,"30,401,286","533,329","136,281","933,784","750,601","7,323,250","11,504,759","1,142,448","1,014,524","2,952,692","4,011,375","30,785","40,638","26,820"
Q4 1999,"30,492,106","532,246","136,424","935,941","750,643","7,334,722","11,559,464","1,143,618","1,012,582","2,966,682","4,021,600","30,608","40,579","26,997"
Q1 2000,"30,525,872","531,774","136,442","934,594","750,786","7,340,269","11,576,994","1,144,428","1,011,141","2,974,517","4,026,664","30,495","40,623","27,145"
Q2 2000,"30,594,030","529,574","136,289","934,291","750,543","7,347,179","11,621,255","1,145,873","1,009,177","2,988,465","4,033,319","30,382","40,455","27,228"
Q3 2000,"30,685,730","527,966","136,470","933,821","750,517","7,356,951","11,683,290","1,147,313","1,007,565","3,004,198","4,039,230","30,431","40,480","27,498"
Q4 2000,"30,783,969","526,732","136,400","934,459","750,252","7,368,772","11,748,348","1,148,183","1,006,027","3,016,947","4,049,297","30,294","40,575","27,683"
Q1 2001,"30,824,441","525,299","136,377","933,463","749,715","7,373,978","11,771,945","1,148,456","1,003,469","3,027,941","4,055,229","30,147","40,624","27,798"
Q2 2001,"30,910,996","523,235","136,499","932,909","749,789","7,383,844","11,827,345","1,149,684","1,001,643","3,041,238","4,066,132","30,124","40,625","27,929"
Q3 2001,"31,020,902","522,046","136,665","932,494","749,820","7,396,456","11,897,534","1,151,454","1,000,239","3,058,108","4,076,950","30,158","40,845","28,133"
Q4 2001,"31,129,119","521,581","136,876","933,336","749,295","7,411,504","11,961,789","1,152,150","999,175","3,078,336","4,085,648","30,076","41,173","28,180"
